country_id,year_id,indicator_id,sex_id,Value,is_missing
14,2013-01-01,1,2,99.31,0
14,2014-01-01,1,2,88.56,0
14,2015-01-01,1,2,83.66,0
14,2016-01-01,1,2,83.36,0
14,2017-01-01,1,2,78.29,0
14,2018-01-01,1,2,78.36,0
14,2019-01-01,1,2,77.68,0
14,2020-01-01,1,2,76.41,0
14,2021-01-01,1,2,75.5,0
15,2011-01-01,1,2,44.53,0
15,2012-01-01,1,2,43.02,0
15,2013-01-01,1,2,42.19,0
15,2014-01-01,1,2,41.89,0
15,2015-01-01,1,2,41.56,0
15,2016-01-01,1,2,41.22,0
15,2017-01-01,1,2,41.44,0
15,2018-01-01,1,2,42.15,0
15,2019-01-01,1,2,42.16,0
15,2020-01-01,1,2,42.42,0
15,2021-01-01,1,2,42.3,0
16,2011-01-01,1,2,22.39,0
16,2012-01-01,1,2,23.59,0
16,2013-01-01,1,2,23.0,0
16,2014-01-01,1,2,20.61,0
16,2015-01-01,1,2,17.84,0
16,2016-01-01,1,2,15.53,0
16,2017-01-01,1,2,12.94,0
16,2018-01-01,1,2,11.6,0
16,2019-01-01,1,2,11.83,0
16,2020-01-01,1,2,11.9,0
16,2021-01-01,1,2,11.85,0
17,2011-01-01,1,2,9.94,0
17,2012-01-01,1,2,9.09,0
17,2013-01-01,1,2,7.82,0
17,2014-01-01,1,2,7.45,0
17,2015-01-01,1,2,6.86,0
17,2016-01-01,1,2,6.49,0
17,2017-01-01,1,2,6.08,0
17,2018-01-01,1,2,5.72,0
17,2019-01-01,1,2,5.3,0
17,2020-01-01,1,2,5.24,0
17,2021-01-01,1,2,5.33,0
18,2011-01-01,1,2,74.01,0
18,2012-01-01,1,2,73.4,0
18,2013-01-01,1,2,72.83,0
18,2014-01-01,1,2,70.72,0
18,2015-01-01,1,2,69.79,0
18,2016-01-01,1,2,70.52,0
18,2017-01-01,1,2,69.63,0
18,2018-01-01,1,2,72.06,0
18,2019-01-01,1,2,64.4,0
18,2020-01-01,1,2,56.67,0
18,2021-01-01,1,2,57.13,0
19,2011-01-01,1,2,93.65,0
19,2012-01-01,1,2,93.04,0
19,2013-01-01,1,2,93.97,0
19,2014-01-01,1,2,95.48,0
19,2015-01-01,1,2,95.52,0
19,2016-01-01,1,2,96.02,0
19,2017-01-01,1,2,95.55,0
19,2018-01-01,1,2,95.48,0
19,2019-01-01,1,2,93.9,0
19,2020-01-01,1,2,92.94,0
19,2021-01-01,1,2,92.26,0
20,2011-01-01,1,2,35.76,0
20,2012-01-01,1,2,33.87,0
20,2013-01-01,1,2,32.74,0
20,2014-01-01,1,2,31.19,0
20,2015-01-01,1,2,29.52,0
20,2016-01-01,1,2,27.04,0
20,2017-01-01,1,2,24.21,0
20,2018-01-01,1,2,21.63,0
20,2019-01-01,1,2,19.66,0
20,2020-01-01,1,2,19.24,0
20,2021-01-01,1,2,18.98,0
21,2011-01-01,1,2,75.02,0
21,2012-01-01,1,2,73.74,0
21,2013-01-01,1,2,72.66,0
21,2014-01-01,1,2,71.44,0
21,2015-01-01,1,2,70.23,0
21,2016-01-01,1,2,68.82,0
21,2017-01-01,1,2,68.2,0
21,2018-01-01,1,2,66.46,0
21,2019-01-01,1,2,65.63,0
21,2020-01-01,1,2,64.38,0
21,2021-01-01,1,2,63.79,0
22,2011-01-01,1,2,12.46,0
22,2012-01-01,1,2,12.28,0
22,2013-01-01,1,2,10.86,0
22,2014-01-01,1,2,10.66,0
22,2015-01-01,1,2,10.86,0
22,2016-01-01,1,2,10.97,0
22,2017-01-01,1,2,10.84,0
22,2018-01-01,1,2,10.49,0
22,2019-01-01,1,2,10.22,0
22,2020-01-01,1,2,10.05,0
22,2021-01-01,1,2,9.86,0
23,2011-01-01,1,2,50.86,0
23,2012-01-01,1,2,50.62,0
23,2013-01-01,1,2,50.41,0
23,2014-01-01,1,2,49.51,0
23,2015-01-01,1,2,54.22,0
23,2016-01-01,1,2,49.89,0
23,2017-01-01,1,2,44.22,0
23,2018-01-01,1,2,48.81,0
23,2019-01-01,1,2,51.15,0
23,2020-01-01,1,2,50.08,0
23,2021-01-01,1,2,49.32,0
24,2011-01-01,1,2,65.23,0
24,2012-01-01,1,2,63.68,0
24,2013-01-01,1,2,62.94,0
24,2014-01-01,1,2,63.12,0
24,2015-01-01,1,2,62.43,0
24,2016-01-01,1,2,57.88,0
24,2017-01-01,1,2,55.57,0
24,2018-01-01,1,2,53.44,0
24,2019-01-01,1,2,50.02,0
24,2020-01-01,1,2,46.3,0
24,2021-01-01,1,2,45.2,0
25,2011-01-01,1,2,15.07,0
