country_id,year_id,indicator_id,sex_id,Value,is_missing
193,2014-01-01,9,3,66.37,0
193,2015-01-01,9,3,67.05,0
193,2016-01-01,9,3,67.42,0
193,2017-01-01,9,3,67.73,0
193,2018-01-01,9,3,67.94,0
193,2019-01-01,9,3,68.14,0
193,2020-01-01,9,3,67.5,0
193,2021-01-01,9,3,67.64,0
194,2011-01-01,9,3,81.03,0
194,2012-01-01,9,3,80.12,0
194,2013-01-01,9,3,79.99,0
194,2014-01-01,9,3,79.82,0
194,2015-01-01,9,3,79.61,0
194,2016-01-01,9,3,79.38,0
194,2017-01-01,9,3,79.1,0
194,2018-01-01,9,3,78.79,0
194,2019-01-01,9,3,78.47,0
194,2020-01-01,9,3,77.72,0
194,2021-01-01,9,3,77.85,0
195,2011-01-01,9,3,88.13,0
195,2012-01-01,9,3,88.62,0
195,2013-01-01,9,3,89.08,0
195,2014-01-01,9,3,89.52,0
195,2015-01-01,9,3,89.59,0
195,2016-01-01,9,3,89.65,0
195,2017-01-01,9,3,89.61,0
195,2018-01-01,9,3,89.5,0
195,2019-01-01,9,3,89.36,0
195,2020-01-01,9,3,88.7,0
195,2021-01-01,9,3,88.93,0
1,2011-01-01,10,2,62.99,0
1,2012-01-01,10,2,63.51,0
1,2013-01-01,10,2,64.03,0
1,2014-01-01,10,2,64.27,0
1,2015-01-01,10,2,64.58,0
1,2016-01-01,10,2,65.1,0
1,2017-01-01,10,2,66.1,0
1,2018-01-01,10,2,66.46,0
1,2019-01-01,10,2,66.68,0
1,2020-01-01,10,2,65.43,0
1,2021-01-01,10,2,65.28,0
2,2011-01-01,10,2,80.8,0
2,2012-01-01,10,2,80.7,0
2,2013-01-01,10,2,80.78,0
2,2014-01-01,10,2,81.01,0
2,2015-01-01,10,2,81.18,0
2,2016-01-01,10,2,81.38,0
2,2017-01-01,10,2,81.5,0
2,2018-01-01,10,2,81.61,0
2,2019-01-01,10,2,81.67,0
2,2020-01-01,10,2,79.68,0
2,2021-01-01,10,2,79.17,0
3,2011-01-01,10,2,75.24,0
3,2012-01-01,10,2,75.48,0
3,2013-01-01,10,2,75.84,0
3,2014-01-01,10,2,76.47,0
3,2015-01-01,10,2,76.82,0
3,2016-01-01,10,2,76.8,0
3,2017-01-01,10,2,76.82,0
3,2018-01-01,10,2,77.2,0
3,2019-01-01,10,2,77.76,0
3,2020-01-01,10,2,75.91,0
