country_id,year_id,indicator_id,sex_id,Value,is_missing
77,2017-01-01,6,1,16.15,0
77,2018-01-01,6,1,17.25,0
77,2019-01-01,6,1,17.25,0
77,2020-01-01,6,1,17.25,0
77,2021-01-01,6,1,17.25,0
78,2011-01-01,6,1,5.07,0
78,2012-01-01,6,1,5.06,0
78,2013-01-01,6,1,4.97,0
78,2014-01-01,6,1,4.97,0
78,2015-01-01,6,1,4.97,0
78,2016-01-01,6,1,4.98,0
78,2017-01-01,6,1,4.98,0
78,2018-01-01,6,1,4.98,0
78,2019-01-01,6,1,4.98,0
78,2020-01-01,6,1,4.98,0
78,2021-01-01,6,1,4.98,0
79,2011-01-01,6,1,30.63,0
79,2012-01-01,6,1,30.63,0
79,2013-01-01,6,1,30.63,0
79,2014-01-01,6,1,30.63,0
79,2015-01-01,6,1,30.63,0
79,2016-01-01,6,1,30.63,0
79,2017-01-01,6,1,30.63,0
79,2018-01-01,6,1,29.75,0
79,2019-01-01,6,1,29.75,0
79,2020-01-01,6,1,29.75,0
79,2021-01-01,6,1,29.75,0
80,2011-01-01,6,1,3.23,0
80,2012-01-01,6,1,3.23,0
80,2013-01-01,6,1,2.99,0
80,2014-01-01,6,1,2.93,0
80,2015-01-01,6,1,2.87,0
80,2016-01-01,6,1,2.87,0
80,2017-01-01,6,1,3.29,0
80,2018-01-01,6,1,3.29,0
80,2019-01-01,6,1,3.29,0
80,2020-01-01,6,1,3.4,0
80,2021-01-01,6,1,3.4,0
81,2011-01-01,6,1,8.43,0
81,2012-01-01,6,1,7.63,0
81,2013-01-01,6,1,6.97,0
81,2014-01-01,6,1,6.74,0
81,2015-01-01,6,1,6.6,0
81,2016-01-01,6,1,6.56,0
81,2017-01-01,6,1,6.58,0
81,2018-01-01,6,1,6.27,0
81,2019-01-01,6,1,6.27,0
81,2020-01-01,6,1,6.27,0
81,2021-01-01,6,1,6.27,0
82,2011-01-01,6,1,11.68,0
82,2012-01-01,6,1,10.56,0
82,2013-01-01,6,1,9.86,0
82,2014-01-01,6,1,11.47,0
82,2015-01-01,6,1,10.46,0
